,code,name,address
0,ADH,DHFS,2624 Whitis Ave Austin TX 78705
1,AF1,Athletic Fields Pavilion (Rehab),2513 Red River St Austin TX 78712
2,AF2,Athletic Fields Pavilion (Eastside),2334 N Ih 35 Austin TX 78712
3,AFP,Athletic Fields Pavilion,2336 N Ih 35 Austin TX 78712
4,AHG,Anna Hiss Gymnasium,2501 Wichita St Austin TX 78712
5,ANB,Arno Nowotny Building,709 E Martin Luther King Blvd Austin TX 78712
6,AND,DHFS,2401 Whitis Ave Austin TX 78705
7,ARC,Animal Resources Center,2701 Speedway Austin TX 78712
8,ART,Art Building and Museum,2301 San Jacinto Blvd Austin TX 78712
9,ATT,AT&amp;T Executive Educ &amp; Conf Center,1900 University Ave Austin TX 78705
10,BAT,Batts Hall,158 W 21st St Austin TX 78712
11,BEL,L. Theo Bellmont Hall,2109 San Jacinto Blvd Austin TX 78712
12,BEN,Benedict Hall,150 W 21st St Austin TX 78712
13,BGH,Biological Sciences Greenhouses,103a W 24th St Austin TX 78712
14,BHD,DHFS,207 E 21st St Austin TX 78705
15,BIO,Biological Laboratories,205 W 24th St Austin TX 78712
16,BLD,DHFS,2500 University Ave Austin TX 78705
17,BMA,Jack S. Blanton Museum of Art,108 E Martin Luther King Blvd Austin TX 78712
18,BMC,Belo Center for New Media,300 W Dean Keeton St Austin TX 78712
19,BME,Biomedical Engineering Building,107 W Dean Keeton St Austin TX 78712
20,BMK,Blanton Museum Ellsworth Kelly,100 E Martin Luther King Blvd Austin TX 78712
21,BMS,Blanton Museum Smith Building,104 W Martin Luther King Blvd Austin TX 78712
22,BOT,Biological Greenhouse,205a W 24th St Austin TX 78712
23,BRB,Bernard and Audre Rapoport Center,2225 Speedway Austin TX 78712
24,BRG,Brazos Garage,210 E Martin Luther King Blvd Austin TX 78712
25,BSB,Basketball Support Bldg (RecSport),301 Jester Cir Austin TX 78705
26,BTL,Battle Hall,302 Inner Campus Dr Austin TX 78712
27,BUR,Burdine Hall,2505 University Ave Austin TX 78712
28,BWY,,2616 Wichita St Austin TX 78712
29,CAL,Calhoun Hall,204 W 21st St Austin TX 78712
30,CBA,College of Business Administration,2110 Speedway Austin TX 78712
31,CCG,Conference Center Garage,205 W 20th St Austin TX 78705
