,code,days,times,buildings
0,00370 ,MW,"('1030', '1200')",SUT
1,00365 ,TTH,"('930', '1100')",WMB
2,00375 ,TTH,"('1230', '330P')",SUT
3,00315 ,TTH,"('800', '1100')",BUR
4,00320 ,TTH,"('800', '1100')",BUR
5,00380 ,F,"('900', '1200')",WMB
6,00325 ,TTH,"('930', '1100')",SUT
7,00385 ,TH,"('200', '500P')",SUT
8,00390 ,TTH,"('930', '1100')",SUT
9,00350 ,TH,"('200', '500P')",SUT
10,00345 ,TTH,"('1230', '330P')",SUT
11,00395 ,MW,"('830', '1000')",WMB
12,00480 ,TTH,"('1230', '200P')",UTC
13,00480 ,TTH,"('900', '1000')",GOL
14,00485 ,TTH,"('1230', '200P')",UTC
15,00485 ,TTH,"('900', '1000')",SUT
16,00490 ,TTH,"('1230', '200P')",UTC
17,00490 ,TTH,"('900', '1000')",GOL
18,00495 ,TTH,"('1230', '200P')",UTC
19,00495 ,TTH,"('900', '1000')",JES
20,00500 ,TTH,"('1230', '200P')",UTC
21,00500 ,TTH,"('900', '1000')",SUT
22,00505 ,TTH,"('1230', '200P')",UTC
23,00505 ,TTH,"('900', '1000')",GAR
24,00510 ,TTH,"('1230', '200P')",UTC
25,00510 ,TTH,"('900', '1000')",SUT
26,00515 ,TTH,"('1230', '200P')",UTC
27,00515 ,TTH,"('900', '1000')",WMB
28,00520 ,TTH,"('1230', '200P')",UTC
29,00520 ,TTH,"('1100', '1200')",JES
30,00525 ,TTH,"('1230', '200P')",UTC
31,00525 ,TTH,"('1100', '1200')",JES
32,00530 ,TTH,"('1230', '200P')",UTC
33,00535 ,TTH,"('1230', '200P')",UTC
34,00535 ,TTH,"('1100', '1200')",SUT
35,00540 ,TTH,"('1230', '200P')",UTC
36,00540 ,TTH,"('330', '430P')",BEN
37,00545 ,TTH,"('1230', '200P')",UTC
38,00550 ,TTH,"('1230', '200P')",UTC
39,00550 ,TTH,"('500', '600P')",PAR
40,00555 ,TTH,"('1230', '200P')",UTC
41,00560 ,TTH,"('1230', '200P')",UTC
42,00560 ,TTH,"('800', '900')",WMB
43,00565 ,TTH,"('1230', '200P')",UTC
44,00565 ,TTH,"('900', '1000')",SUT
45,00570 ,TTH,"('1230', '200P')",UTC
46,00570 ,TTH,"('1000', '1100')",WAG
47,00575 ,TTH,"('1230', '200P')",UTC
48,00575 ,TTH,"('1100', '1200')",JES
49,00605 ,TTH,"('1230', '200P')",HRH
50,00605 ,TTH,"('900', '1000')",GOL
51,00610 ,TTH,"('1230', '200P')",HRH
52,00615 ,TTH,"('1230', '200P')",HRH
53,00615 ,TTH,"('900', '1000')",BTL
54,00620 ,TTH,"('1230', '200P')",HRH
55,00620 ,TTH,"('1200', '100P')",BTL
56,00625 ,TTH,"('1230', '200P')",HRH
57,00625 ,TTH,"('200', '300P')",MEZ
58,00630 ,TTH,"('1230', '200P')",HRH
59,00630 ,TTH,"('200', '300P')",BTL
60,00635 ,TTH,"('1230', '200P')",HRH
61,00635 ,TTH,"('200', '300P')",SUT
62,00640 ,TTH,"('1230', '200P')",HRH
63,00640 ,TTH,"('200', '300P')",SUT
64,00645 ,TTH,"('1230', '200P')",HRH
65,00645 ,TTH,"('300', '400P')",SUT
66,00650 ,TTH,"('1230', '200P')",HRH
67,00585 ,TTH,"('800', '1100')",BUR
68,00590 ,TTH,"('800', '1100')",BUR
69,00595 ,TTH,"('930', '1100')",GOL
70,00600 ,TTH,"('930', '1100')",GOL
71,00705 ,TH,"('700', '1000P')",SUT
72,00707 ,T,"('500', '800P')",WMB
73,00708 ,W,"('900', '1200')",SUT
74,00710 ,T,"('800', '1100')",BTL
75,00715 ,T,"('1230', '330P')",WMB
76,00720 ,TTH,"('930', '1100')",WMB
77,00725 ,W,"('800', '1100')",WMB
78,00730 ,M,"('900', '1200')",SUT
79,00745 ,M,"('600', '900P')",SUT
80,00795 ,TTH,"('200', '330P')",GOL
81,00795 ,TTH,"('700', '1000P')",SUT
82,00800 ,TTH,"('200', '330P')",GOL
83,00790 ,MWF,"('1100', '1200')",GOL
84,00740 ,T,"('200', '500P')",GOL
85,00785 ,TTH,"('1230', '200P')",GOL
86,00735 ,TH,"('330', '630P')",BTL
87,00805 ,TTH,"('1230', '200P')",GOL
88,00810 ,T,"('200', '500P')",WMB
89,00750 ,TH,"('200', '500P')",SUT
90,00755 ,M,"('900', '1200')",SUT
91,00760 ,M,"('700', '1000P')",SUT
92,00770 ,M,"('630', '930P')",GOL
93,00775 ,MW,"('830', '1000')",WMB
94,00780 ,TTH,"('230', '530P')",GOL
95,00820 ,T,"('200', '500P')",BTL
96,00765 ,W,"('900', '1200')",WMB
97,00815 ,MW,"('930', '1100')",SUT
98,00825 ,W,"('900', '1200')",WMB
99,00830 ,T,"('200', '500P')",SUT
100,00834 ,T,"('200', '500P')",BTL
101,00835 ,TTH,"('200', '330P')",WMB
102,00855 ,TTH,"('1230', '200P')",BTL
103,00925 ,TTH,"('200', '500P')",WMB
104,00935 ,TTH,"('530', '700P')",GOL
105,00860 ,W,"('900', '1200')",BTL
106,00850 ,TTH,"('1230', '200P')",SUT
107,00845 ,TH,"('800', '1100')",SUT
108,00840 ,W,"('630', '930P')",BTL
109,00865 ,M,"('900', '1200')",BTL
110,00955 ,F,"('900', '1200')",WMB
111,00955 ,F,"('1030', '1200')",WMB
112,00960 ,MW,"('830', '1000')",WMB
113,00875 ,F,"('900', '1200')",WMB
114,00875 ,F,"('1030', '1200')",WMB
115,00965 ,TTH,"('200', '500P')",WMB
116,00970 ,TTH,"('530', '700P')",GOL
117,01039 ,W,"('900', '1200')",BTL
118,01045 ,M,"('900', '1200')",SUT
119,01050 ,TH,"('330', '630P')",BTL
120,00990 ,MW,"('1030', '1200')",SUT
121,00990 ,MW,"('700', '800P')",SUT
122,01040 ,W,"('800', '1100')",WMB
123,00985 ,TTH,"('1230', '200P')",GOL
124,01055 ,T,"('200', '500P')",GOL
125,01060 ,M,"('600', '900P')",SUT
126,00995 ,TTH,"('930', '1100')",WMB
127,01000 ,TTH,"('200', '330P')",SUT
128,01000 ,TTH,"('700', '1000P')",GOL
129,01005 ,M,"('900', '1200')",WMB
