,code,day,start_time,end_time,building
0,00345,TTH,330,500P,GOL
1,00390,TTH,600,900P,GOL
2,00395,MW,930,1100,SUT
3,00400,T,200,500P,SUT
4,00405,TTH,200,330P,WMB
5,00410,TTH,930,1100,SUT
6,00350,TH,1230,330P,WMB
7,00335,TTH,200,500P,WMB
8,00340,TTH,200,500P,WMB
9,00375,TTH,930,1100,SUT
10,00325,TTH,200,330P,WMB
11,00320,TTH,800,1100,GOL
12,00365,T,200,500P,SUT
13,00425,TH,1230,330P,WMB
14,00510,W,800,900,SUT
15,00515,M,830,930,SUT
16,00520,W,830,930,SUT
17,00545,F,900,1000,SUT
18,00550,M,1000,1100,PAR
19,00555,W,1000,1100,SZB
20,00565,M,1100,1200,PAR
21,00575,T,1100,1200,SZB
22,00580,W,1100,1200,SZB
23,00590,T,200,300P,SUT
24,00595,T,200,300P,SZB
25,00600,T,300,400P,GDC
26,00625,TTH,930,1100,HRH
27,00630,TTH,930,1100,HRH
28,00635,TTH,930,1100,HRH
29,00640,TTH,930,1100,HRH
30,00640,T,1230,130P,SUT
31,00645,TTH,930,1100,HRH
32,00645,T,100,200P,PAR
33,00650,TTH,930,1100,HRH
34,00650,M,200,300P,CAL
35,00655,TTH,930,1100,HRH
36,00655,W,200,300P,WMB
37,00660,TTH,930,1100,HRH
38,00665,TTH,930,1100,HRH
39,00670,TTH,930,1100,HRH
40,00670,W,400,500P,WMB
41,00615,TTH,800,1100,GOL
42,00620,TTH,800,1100,GOL
43,00725,TTH,200,500P,WMB
44,00730,TTH,200,500P,WMB
45,00735,TTH,1230,200P,WMB
46,00740,TH,1230,330P,WMB
47,00750,T,200,500P,SUT
48,00765,TTH,230,530P,GOL
49,00800,MW,1000,1130,GOL
50,00805,T,200,500P,BTL
51,00795,TTH,930,1100,GOL
52,00790,MW,930,1100,GOL
53,00780,TTH,1230,200P,GOL
54,00780,T,700,1000P,PAR
55,00785,TTH,1230,200P,GOL
56,00770,TTH,330,500P,GOL
57,00770,F,900,1200,SUT
58,00775,TTH,330,500P,GOL
59,00775,W,600,900P,WMB
60,00760,W,700,1000P,GOL
61,00755,M,630,930P,BTL
62,00860,TTH,830,1100,WMB
63,00870,TTH,530,700P,GOL
64,00910,TTH,600,900P,GOL
65,00915,TTH,830,1100,WMB
66,00945,TTH,1230,200P,SUT
67,00945,W,700,1000P,PAR
68,00950,T,200,500P,GOL
69,00955,T,300,600P,SUT
70,00960,W,900,1200,BTL
71,00940,MW,930,1100,SUT
72,00940,M,700,800P,PAR
73,00920,TTH,530,700P,GOL
74,00965,M,1000,100P,SUT
75,00965,F,1000,100P,SUT
76,00970,W,900,1200,SUT
77,00975,TTH,1100,1230P,RRH
78,00980,T,200,500P,SUT
79,00985,M,630,930P,BTL
80,00990,W,700,1000P,GOL
81,01060,MWF,100,600P,GOL
82,01010,TH,200,500P,SUT
83,01035,TTH,1230,200P,WMB
84,01040,TH,1230,330P,WMB
85,01050,TTH,230,530P,GOL
86,01100,MW,1000,1130,GOL
87,01095,TTH,930,1100,GOL
88,00995,TTH,930,1100,HRH
89,00995,F,1000,1130,BTL
90,01005,T,200,500P,BTL
91,01000,TTH,1230,200P,GOL
92,01310,W,300,600P,SUT
93,01315,T,500,800P,WMB
94,01325,M,330,630P,SUT
95,01265,M,1100,1230P,SUT
96,01270,M,1100,1230P,SUT
97,01320,W,600,900P,SUT
98,01305,MW,1100,1230P,WMB
99,01175,W,1230,200P,SUT
100,01295,MW,930,1100,WMB
101,01300,MW,1230,200P,WMB
102,01285,MW,930,1100,SUT
103,01290,MW,1230,200P,SUT
104,01275,TTH,930,1100,SUT
105,01280,TTH,1230,200P,SUT
106,01345,M,630,930P,BTL
107,01350,TTH,1230,200P,WMB
